ticker,shares_outstanding,last_update
MSFT,7425629076,2026-03-01T17:09:08.486874
005930.KS,5876745450,2026-03-01T17:09:08.638603
ASML,385417665,2026-03-01T17:09:08.789411
AMZN,10734920870,2026-03-01T17:09:08.935351
SAP,1164604232,2026-03-01T17:09:09.086510
AAPL,14681140000,2026-03-01T17:09:09.240036
BABA,2387329415,2026-03-01T17:09:09.389747
WMT,7970166964,2026-03-01T17:09:09.534917
NVDA,24300000000,2026-03-01T17:09:09.686476
JPM,2697032375,2026-03-01T17:09:09.853726
GOOGL,5822000000,2026-03-01T17:09:10.005034
SSNLF,5876745450,2026-03-01T17:09:10.150899
META,2187177748,2026-03-01T17:09:10.305458
TSM,5186504904,2026-03-01T17:09:10.455815
RELIANCE.NS,13532472634,2026-03-01T17:09:10.607755
TSLA,3752431984,2026-03-01T17:09:10.756893
HDB,5129338480,2026-03-01T17:09:11.133109
2222.SR,241854700000,2026-03-01T17:09:11.286011
