ticker,shares_outstanding,currency,exchange_rate_to_usd,last_update
MSFT,7425629076,USD,1.0,2026-03-01T17:09:08.486874
005930.KS,5876745450,KRW,1300.0,2026-03-01T17:09:08.638603
ASML,385417665,EUR,1.1,2026-03-01T17:09:08.789411
AMZN,10734920870,USD,1.0,2026-03-01T17:09:08.935351
SAP,1164604232,EUR,1.1,2026-03-01T17:09:09.086510
AAPL,14681140000,USD,1.0,2026-03-01T17:09:09.240036
BABA,2387329415,CNY,7.2,2026-03-01T17:09:09.389747
WMT,7970166964,USD,1.0,2026-03-01T17:09:09.534917
NVDA,24300000000,USD,1.0,2026-03-01T17:09:09.686476
JPM,2697032375,USD,1.0,2026-03-01T17:09:09.853726
GOOGL,5822000000,USD,1.0,2026-03-01T17:09:10.005034
SSNLF,5876745450,USD,1.0,2026-03-01T17:09:10.150899
META,2187177748,USD,1.0,2026-03-01T17:09:10.305458
TSM,5186504904,TWD,31.0,2026-03-01T17:09:10.455815
RELIANCE.NS,13532472634,INR,83.0,2026-03-01T17:09:10.607755
TSLA,3752431984,USD,1.0,2026-03-01T17:09:10.756893
HDB,5129338480,INR,83.0,2026-03-01T17:09:11.133109
2222.SR,241854700000,SAR,3.75,2026-03-01T17:09:11.286011
