date,rank,asset_id,asset_type,label,market_cap,source,confidence,sector,region,notes
2016-01-01,1,MSFT,company,MSFT,357377236422.9096,yfinance,Medium,,,
2016-01-01,2,AAPL,company,AAPL,321907897051.84937,yfinance,Medium,,,
2016-01-01,3,AMZN,company,AMZN,315069931629.5473,yfinance,Medium,,,
2016-01-01,4,META,company,META,243720738050.765,yfinance,Medium,,,
2016-01-01,5,Gold,metal,Gold,234444005126.95312,manual/yfinance,Medium,,,
2016-01-01,6,GOOGL,company,GOOGL,219966990379.3335,yfinance,Medium,,,
2016-01-01,7,Platinum,metal,Platinum,174459997558.59375,manual/yfinance,Medium,,,
2016-01-01,8,WMT,company,WMT,146939768134.4184,yfinance,Medium,,,
2016-01-01,9,JPM,company,JPM,121892871206.43329,yfinance,Medium,,,
2016-01-01,10,005930.KS,company,005930.KS,81327005339.57677,yfinance,Medium,,,
2016-01-01,11,Palladium,metal,Palladium,74625000000.0,manual/yfinance,Medium,,,
2016-01-01,12,SAP,company,SAP,72278107984.89745,yfinance,Medium,,,
2016-01-01,13,TSLA,company,TSLA,47831000595.96483,yfinance,Medium,,,
2016-01-01,14,RELIANCE.NS,company,RELIANCE.NS,36579173961.69398,yfinance,Medium,,,
2016-01-01,15,ASML,company,ASML,29063350431.11187,yfinance,Medium,,,
2016-01-01,16,Silver,metal,Silver,24900750160.217285,manual/yfinance,Medium,,,
2016-01-01,17,BABA,company,BABA,21107327050.371635,yfinance,Medium,,,
2016-01-01,18,NVDA,company,NVDA,17361346507.07245,yfinance,Medium,,,
2016-01-01,19,bitcoin,crypto,bitcoin,6500000000.0,coingecko,High,,,
2016-01-01,20,TSM,company,TSM,2880084388.6166496,yfinance,Medium,,,
2016-02-01,1,MSFT,company,MSFT,330066357114.2853,yfinance,Medium,,,
2016-02-01,2,AAPL,company,AAPL,319758431514.70184,yfinance,Medium,,,
2016-02-01,3,AMZN,company,AMZN,296562918057.7519,yfinance,Medium,,,
2016-02-01,4,Gold,metal,Gold,259119005126.95312,manual/yfinance,Medium,,,
2016-02-01,5,META,company,META,232230846158.04285,yfinance,Medium,,,
2016-02-01,6,GOOGL,company,GOOGL,207217062675.47607,yfinance,Medium,,,
2016-02-01,7,Platinum,metal,Platinum,186740002441.40625,manual/yfinance,Medium,,,
2016-02-01,8,WMT,company,WMT,146895530643.06778,yfinance,Medium,,,
2016-02-01,9,JPM,company,JPM,116110986649.85513,yfinance,Medium,,,
2016-02-01,10,005930.KS,company,005930.KS,83307113620.5791,yfinance,Medium,,,
2016-02-01,11,Palladium,metal,Palladium,74340000915.52734,manual/yfinance,Medium,,,
2016-02-01,12,SAP,company,SAP,68238496908.84033,yfinance,Medium,,,
2016-02-01,13,TSLA,company,TSLA,48013616452.27236,yfinance,Medium,,,
2016-02-01,14,RELIANCE.NS,company,RELIANCE.NS,34150339169.182663,yfinance,Medium,,,
2016-02-01,15,ASML,company,ASML,28803861696.542564,yfinance,Medium,,,
