date,coin_id,symbol,market_cap,price,circulating_supply
2016-01-01,bitcoin,BTC,6500000000,435.5,16000000
2016-02-01,bitcoin,BTC,6800000000,455.2,16100000
2016-03-01,bitcoin,BTC,7200000000,468.3,16200000
2016-04-01,bitcoin,BTC,7600000000,490.1,16300000
2016-05-01,bitcoin,BTC,8000000000,510.2,16400000
2016-06-01,bitcoin,BTC,8200000000,520.5,16500000
2016-07-01,bitcoin,BTC,8500000000,535.2,16600000
2016-08-01,bitcoin,BTC,8700000000,545.3,16700000
2016-09-01,bitcoin,BTC,9000000000,560.1,16800000
2016-10-01,bitcoin,BTC,9300000000,575.2,16900000
2016-11-01,bitcoin,BTC,10000000000,620.5,17000000
2016-12-01,bitcoin,BTC,10800000000,700.3,17100000
2017-01-01,bitcoin,BTC,12000000000,780.2,17200000
2017-02-01,bitcoin,BTC,13500000000,850.1,17300000
2017-03-01,bitcoin,BTC,15000000000,920.5,17400000
2017-04-01,bitcoin,BTC,16500000000,1000.3,17500000
2017-05-01,bitcoin,BTC,18000000000,1100.2,17600000
2017-06-01,bitcoin,BTC,19500000000,1200.5,17700000
2017-07-01,bitcoin,BTC,21000000000,1300.3,17800000
2017-08-01,bitcoin,BTC,22600000000,1400.2,17900000
2017-09-01,bitcoin,BTC,24200000000,1500.5,18000000
2017-10-01,bitcoin,BTC,26000000000,1620.3,18100000
2017-11-01,bitcoin,BTC,28000000000,1750.2,18200000
2017-12-01,bitcoin,BTC,31000000000,1950.5,18300000
2018-01-01,bitcoin,BTC,28500000000,1750.3,18400000
2018-02-01,bitcoin,BTC,26000000000,1580.2,18500000
2018-03-01,bitcoin,BTC,24500000000,1420.5,18600000
2018-04-01,bitcoin,BTC,22800000000,1280.3,18700000
2018-05-01,bitcoin,BTC,21000000000,1150.2,18800000
2018-06-01,bitcoin,BTC,19200000000,1020.5,18900000
2018-07-01,bitcoin,BTC,17500000000,950.3,19000000
2018-08-01,bitcoin,BTC,16000000000,880.2,19100000
2018-09-01,bitcoin,BTC,14600000000,800.5,19200000
2018-10-01,bitcoin,BTC,13200000000,720.3,19300000
2018-11-01,bitcoin,BTC,12000000000,680.2,19400000
2018-12-01,bitcoin,BTC,10800000000,600.5,19500000
2019-01-01,bitcoin,BTC,11500000000,650.3,19600000
2019-02-01,bitcoin,BTC,12800000000,720.2,19700000
2019-03-01,bitcoin,BTC,14200000000,800.5,19800000
2019-04-01,bitcoin,BTC,15800000000,880.3,19900000
2019-05-01,bitcoin,BTC,17500000000,950.2,20000000
2019-06-01,bitcoin,BTC,19200000000,1050.5,20100000
2019-07-01,bitcoin,BTC,21000000000,1150.3,20200000
2019-08-01,bitcoin,BTC,22800000000,1250.2,20300000
2019-09-01,bitcoin,BTC,24600000000,1350.5,20400000
2019-10-01,bitcoin,BTC,26500000000,1450.3,20500000
2019-11-01,bitcoin,BTC,28600000000,1550.2,20600000
2019-12-01,bitcoin,BTC,31000000000,1750.5,20700000
2020-01-01,bitcoin,BTC,28800000000,1650.3,20800000
2020-02-01,bitcoin,BTC,26500000000,1550.2,20900000
2020-03-01,bitcoin,BTC,24200000000,1450.5,21000000
2020-04-01,bitcoin,BTC,26000000000,1550.3,21100000
2020-05-01,bitcoin,BTC,28500000000,1650.2,21200000
2020-06-01,bitcoin,BTC,31500000000,1750.5,21300000
2020-07-01,bitcoin,BTC,34800000000,1850.3,21400000
2020-08-01,bitcoin,BTC,38500000000,1950.2,21500000
2020-09-01,bitcoin,BTC,42500000000,2050.5,21600000
2020-10-01,bitcoin,BTC,47500000000,2150.3,21700000
2020-11-01,bitcoin,BTC,53500000000,2250.2,21800000
2020-12-01,bitcoin,BTC,60000000000,2350.5,21900000
2021-01-01,bitcoin,BTC,68500000000,2450.3,22000000
2021-02-01,bitcoin,BTC,78000000000,2550.2,22100000
2021-03-01,bitcoin,BTC,89000000000,2650.5,22200000
2021-04-01,bitcoin,BTC,102000000000,2750.3,22300000
2021-05-01,bitcoin,BTC,95000000000,2850.2,22400000
2021-06-01,bitcoin,BTC,88000000000,2950.5,22500000
2021-07-01,bitcoin,BTC,95500000000,3050.3,22600000
2021-08-01,bitcoin,BTC,103000000000,3150.2,22700000
2021-09-01,bitcoin,BTC,110000000000,3250.5,22800000
2021-10-01,bitcoin,BTC,118000000000,3350.3,22900000
2021-11-01,bitcoin,BTC,128000000000,3450.2,23000000
2021-12-01,bitcoin,BTC,135000000000,3550.5,23100000
2022-01-01,bitcoin,BTC,125000000000,3450.3,23200000
2022-02-01,bitcoin,BTC,115000000000,3350.2,23300000
2022-03-01,bitcoin,BTC,105000000000,3250.5,23400000
2022-04-01,bitcoin,BTC,95000000000,3150.3,23500000
2022-05-01,bitcoin,BTC,85000000000,3050.2,23600000
2022-06-01,bitcoin,BTC,75000000000,2950.5,23700000
2022-07-01,bitcoin,BTC,82000000000,3000.3,23800000
2022-08-01,bitcoin,BTC,90000000000,3050.2,23900000
2022-09-01,bitcoin,BTC,98000000000,3100.5,24000000
2022-10-01,bitcoin,BTC,106000000000,3150.3,24100000
2022-11-01,bitcoin,BTC,115000000000,3200.2,24200000
2022-12-01,bitcoin,BTC,125000000000,3250.5,24300000
2023-01-01,bitcoin,BTC,135000000000,3300.3,24400000
2023-02-01,bitcoin,BTC,145000000000,3350.2,24500000
2023-03-01,bitcoin,BTC,155000000000,3400.5,24600000
2023-04-01,bitcoin,BTC,165000000000,3450.3,24700000
2023-05-01,bitcoin,BTC,175000000000,3500.2,24800000
2023-06-01,bitcoin,BTC,185000000000,3550.5,24900000
2023-07-01,bitcoin,BTC,195000000000,3600.3,25000000
2023-08-01,bitcoin,BTC,205000000000,3650.2,25100000
2023-09-01,bitcoin,BTC,215000000000,3700.5,25200000
2023-10-01,bitcoin,BTC,225000000000,3750.3,25300000
2023-11-01,bitcoin,BTC,235000000000,3800.2,25400000
2023-12-01,bitcoin,BTC,245000000000,3850.5,25500000
2024-01-01,bitcoin,BTC,255000000000,3900.3,25600000
2024-02-01,bitcoin,BTC,265000000000,3950.2,25700000
2024-03-01,bitcoin,BTC,275000000000,4000.5,25800000
2024-04-01,bitcoin,BTC,285000000000,4050.3,25900000
2024-05-01,bitcoin,BTC,295000000000,4100.2,26000000
2024-06-01,bitcoin,BTC,305000000000,4150.5,26100000
2024-07-01,bitcoin,BTC,315000000000,4200.3,26200000
2024-08-01,bitcoin,BTC,325000000000,4250.2,26300000
2024-09-01,bitcoin,BTC,335000000000,4300.5,26400000
2024-10-01,bitcoin,BTC,345000000000,4350.3,26500000
2024-11-01,bitcoin,BTC,355000000000,4400.2,26600000
2024-12-01,bitcoin,BTC,365000000000,4450.5,26700000
2025-01-01,bitcoin,BTC,375000000000,4500.3,26800000
2025-02-01,bitcoin,BTC,385000000000,4550.2,26900000
2025-03-01,bitcoin,BTC,395000000000,4600.5,27000000
2025-04-01,bitcoin,BTC,405000000000,4650.3,27100000
2025-05-01,bitcoin,BTC,415000000000,4700.2,27200000
2025-06-01,bitcoin,BTC,425000000000,4750.5,27300000
2025-07-01,bitcoin,BTC,435000000000,4800.3,27400000
2025-08-01,bitcoin,BTC,445000000000,4850.2,27500000
2025-09-01,bitcoin,BTC,455000000000,4900.5,27600000
2025-10-01,bitcoin,BTC,465000000000,4950.3,27700000
2025-11-01,bitcoin,BTC,475000000000,5000.2,27800000
2025-12-01,bitcoin,BTC,485000000000,5050.5,27900000
2026-01-01,bitcoin,BTC,495000000000,5100.3,28000000
2026-02-01,bitcoin,BTC,505000000000,5150.2,28100000
