country_name,country_code,year,population,rank
China,CHN,1960,667070000,1
India,IND,1960,435990338,2
United States,USA,1960,180671000,3
Russian Federation,RUS,1960,119897000,4
Japan,JPN,1960,93216000,5
Indonesia,IDN,1960,88296070,6
Germany,DEU,1960,72814900,7
Brazil,BRA,1960,72388126,8
United Kingdom,GBR,1960,52400000,9
Bangladesh,BGD,1960,51828660,10
Italy,ITA,1960,50199700,11
France,FRA,1960,47412964,12
Pakistan,PAK,1960,45709310,13
Nigeria,NGA,1960,45053782,14
Ukraine,UKR,1960,42824093,15
Mexico,MEX,1960,36724615,16
Viet Nam,VNM,1960,32531933,17
Spain,ESP,1960,30455000,18
Poland,POL,1960,29637450,19
Turkiye,TUR,1960,28329898,20
Philippines,PHL,1960,27891897,21
"Egypt, Arab Rep.",EGY,1960,26896479,22
Thailand,THA,1960,26851747,23
"Korea, Rep.",KOR,1960,25012374,24
Myanmar,MMR,1960,21730250,25
"Iran, Islamic Rep.",IRN,1960,21470434,26
Ethiopia,ETH,1960,21376693,27
Argentina,ARG,1960,20386045,28
Romania,ROU,1960,18406905,29
Canada,CAN,1960,17909356,30
South Africa,ZAF,1960,16440172,31
Colombia,COL,1960,15606209,32
"Congo, Dem. Rep.",COD,1960,15264846,33
"Korea, Dem. People's Rep.",PRK,1960,11722953,34
Morocco,MAR,1960,11624933,35
Netherlands,NLD,1960,11486631,36
Algeria,DZA,1960,11424922,37
Australia,AUS,1960,10276477,38
Peru,PER,1960,10174127,39
Nepal,NPL,1960,10123658,40
Hungary,HUN,1960,9983512,41
Tanzania,TZA,1960,9901419,42
Sri Lanka,LKA,1960,9661389,43
Czechia,CZE,1960,9602006,44
Kazakhstan,KAZ,1960,9429981,45
Belgium,BEL,1960,9153489,46
Afghanistan,AFG,1960,9035043,47
Portugal,PRT,1960,8857716,48
Sudan,SDN,1960,8364489,49
Greece,GRC,1960,8331725,50
China,CHN,1961,660330000,1
India,IND,1961,446564729,2
United States,USA,1961,183691000,3
Russian Federation,RUS,1961,121236000,4
Japan,JPN,1961,94055000,5
Indonesia,IDN,1961,90791249,6
Brazil,BRA,1961,74605447,7
Germany,DEU,1961,73377632,8
Bangladesh,BGD,1961,53310348,9
United Kingdom,GBR,1961,52800000,10
Italy,ITA,1961,50536350,11
France,FRA,1961,47905982,12
Pakistan,PAK,1961,46921277,13
Nigeria,NGA,1961,45989310,14
Ukraine,UKR,1961,43399766,15
Mexico,MEX,1961,37890118,16
Viet Nam,VNM,1961,33409059,17
Spain,ESP,1961,30739250,18
Poland,POL,1961,29964000,19
Turkiye,TUR,1961,29119238,20
Philippines,PHL,1961,28792621,21
Thailand,THA,1961,27650334,22
"Egypt, Arab Rep.",EGY,1961,27600898,23
"Korea, Rep.",KOR,1961,25765673,24
Myanmar,MMR,1961,22210581,25
"Iran, Islamic Rep.",IRN,1961,22125726,26
Ethiopia,ETH,1961,21906102,27
Argentina,ARG,1961,20726276,28
Romania,ROU,1961,18555250,29
Canada,CAN,1961,18271000,30
South Africa,ZAF,1961,16908035,31
Colombia,COL,1961,16095203,32
"Congo, Dem. Rep.",COD,1961,15662374,33
"Korea, Dem. People's Rep.",PRK,1961,11990713,34
Morocco,MAR,1961,11931085,35
Netherlands,NLD,1961,11638712,36
Algeria,DZA,1961,11628883,37
Australia,AUS,1961,10483000,38
Peru,PER,1961,10475123,39
Nepal,NPL,1961,10318396,40
Tanzania,TZA,1961,10187886,41
Hungary,HUN,1961,10027958,42
Sri Lanka,LKA,1961,9899372,43
Kazakhstan,KAZ,1961,9742085,44
Czechia,CZE,1961,9586651,45
Afghanistan,AFG,1961,9214083,46
Belgium,BEL,1961,9183948,47
Portugal,PRT,1961,8929316,48
Sudan,SDN,1961,8634941,49
Uzbekistan,UZB,1961,8517711,50
China,CHN,1962,665770000,1
India,IND,1962,457283090,2
United States,USA,1962,186538000,3
Russian Federation,RUS,1962,122591000,4
Japan,JPN,1962,94933000,5
Indonesia,IDN,1962,93375850,6
Brazil,BRA,1962,76865323,7
Germany,DEU,1962,74025784,8
Bangladesh,BGD,1962,54881146,9
United Kingdom,GBR,1962,53250000,10
Italy,ITA,1962,50879450,11
France,FRA,1962,48389516,12
Pakistan,PAK,1962,48156128,13
Nigeria,NGA,1962,46965292,14
Ukraine,UKR,1962,43943674,15
Mexico,MEX,1962,39129200,16
Viet Nam,VNM,1962,34288560,17
Spain,ESP,1962,31023366,18
Poland,POL,1962,30308500,19
Turkiye,TUR,1962,29916147,20
Philippines,PHL,1962,29723536,21
Thailand,THA,1962,28481040,22
"Egypt, Arab Rep.",EGY,1962,28337013,23
"Korea, Rep.",KOR,1962,26513030,24
"Iran, Islamic Rep.",IRN,1962,22807907,25
Myanmar,MMR,1962,22704719,26
Ethiopia,ETH,1962,22465126,27
Argentina,ARG,1962,21072538,28
Romania,ROU,1962,18676550,29
Canada,CAN,1962,18614000,30
South Africa,ZAF,1962,17418522,31
Colombia,COL,1962,16599029,32
"Congo, Dem. Rep.",COD,1962,16075724,33
"Korea, Dem. People's Rep.",PRK,1962,12262882,34
Morocco,MAR,1962,12253092,35
Netherlands,NLD,1962,11805689,36
Algeria,DZA,1962,11800771,37
Peru,PER,1962,10784612,38
Australia,AUS,1962,10742000,39
Nepal,NPL,1962,10521116,40
Tanzania,TZA,1962,10487756,41
Sri Lanka,LKA,1962,10143754,42
Hungary,HUN,1962,10060825,43
Kazakhstan,KAZ,1962,10058928,44
Czechia,CZE,1962,9624660,45
Afghanistan,AFG,1962,9404406,46
Belgium,BEL,1962,9220578,47
Portugal,PRT,1962,8993985,48
Sudan,SDN,1962,8919028,49
Uzbekistan,UZB,1962,8854368,50
China,CHN,1963,682335000,1
India,IND,1963,468138575,2
United States,USA,1963,189242000,3
Russian Federation,RUS,1963,123960000,4
Indonesia,IDN,1963,96051424,5
Japan,JPN,1963,95900000,6
Brazil,BRA,1963,79164235,7
Germany,DEU,1963,74714353,8
Bangladesh,BGD,1963,56504402,9
United Kingdom,GBR,1963,53650000,10
Italy,ITA,1963,51252000,11
Pakistan,PAK,1963,49447776,12
France,FRA,1963,48877567,13
Nigeria,NGA,1963,47973575,14
Ukraine,UKR,1963,44462372,15
Mexico,MEX,1963,40424065,16
Viet Nam,VNM,1963,35249101,17
Spain,ESP,1963,31296651,18
Turkiye,TUR,1963,30726841,19
Poland,POL,1963,30712000,20
Philippines,PHL,1963,30674731,21
Thailand,THA,1963,29342322,22
"Egypt, Arab Rep.",EGY,1963,29091869,23
"Korea, Rep.",KOR,1963,27261747,24
"Iran, Islamic Rep.",IRN,1963,23519005,25
Myanmar,MMR,1963,23213408,26
Ethiopia,ETH,1963,23051637,27
Argentina,ARG,1963,21421705,28
Canada,CAN,1963,18964000,29
Romania,ROU,1963,18797850,30
South Africa,ZAF,1963,17954564,31
Colombia,COL,1963,17113823,32
"Congo, Dem. Rep.",COD,1963,16507599,33
Morocco,MAR,1963,12577502,34
"Korea, Dem. People's Rep.",PRK,1963,12567057,35
Algeria,DZA,1963,11982118,36
Netherlands,NLD,1963,11965966,37
Peru,PER,1963,11102099,38
Australia,AUS,1963,10950000,39
Tanzania,TZA,1963,10799528,40
Nepal,NPL,1963,10729818,41
Sri Lanka,LKA,1963,10395040,42
Kazakhstan,KAZ,1963,10377466,43
Hungary,HUN,1963,10087947,44
Czechia,CZE,1963,9670685,45
Afghanistan,AFG,1963,9604487,46
Belgium,BEL,1963,9289770,47
Sudan,SDN,1963,9218077,48
Uzbekistan,UZB,1963,9202246,49
"Venezuela, RB",VEN,1963,9064021,50
China,CHN,1964,698355000,1
India,IND,1964,479229598,2
United States,USA,1964,191889000,3
Russian Federation,RUS,1964,125345000,4
Indonesia,IDN,1964,98833749,5
Japan,JPN,1964,96903000,6
Brazil,BRA,1964,81488595,7
Germany,DEU,1964,75318337,8
Bangladesh,BGD,1964,58178374,9
United Kingdom,GBR,1964,54000000,10
Italy,ITA,1964,51675350,11
Pakistan,PAK,1964,50799999,12
France,FRA,1964,49401492,13
Nigeria,NGA,1964,49012016,14
Ukraine,UKR,1964,44951156,15
Mexico,MEX,1964,41772049,16
Viet Nam,VNM,1964,36201563,17
Philippines,PHL,1964,31643032,18
Spain,ESP,1964,31609195,19
Turkiye,TUR,1964,31543072,20
Poland,POL,1964,31139450,21
Thailand,THA,1964,30232141,22
"Egypt, Arab Rep.",EGY,1964,29858922,23
"Korea, Rep.",KOR,1964,27984155,24
"Iran, Islamic Rep.",IRN,1964,24262859,25
Myanmar,MMR,1964,23737315,26
Ethiopia,ETH,1964,23666548,27
Argentina,ARG,1964,21769453,28
Canada,CAN,1964,19325000,29
Romania,ROU,1964,18919126,30
South Africa,ZAF,1964,18511361,31
Colombia,COL,1964,17637411,32
"Congo, Dem. Rep.",COD,1964,16955327,33
Morocco,MAR,1964,12898886,34
"Korea, Dem. People's Rep.",PRK,1964,12889770,35
Algeria,DZA,1964,12179813,36
Netherlands,NLD,1964,12127120,37
Peru,PER,1964,11427978,38
Australia,AUS,1964,11167000,39
Tanzania,TZA,1964,11127826,40
Nepal,NPL,1964,10946392,41
Kazakhstan,KAZ,1964,10690309,42
Sri Lanka,LKA,1964,10653397,43
Hungary,HUN,1964,10119835,44
Afghanistan,AFG,1964,9814318,45
Czechia,CZE,1964,9727804,46
Uzbekistan,UZB,1964,9557611,47
Sudan,SDN,1964,9531109,48
Belgium,BEL,1964,9378113,49
"Venezuela, RB",VEN,1964,9377712,50
China,CHN,1965,715185000,1
India,IND,1965,490140146,2
United States,USA,1965,194303000,3
Russian Federation,RUS,1965,126745000,4
Indonesia,IDN,1965,101365130,5
Japan,JPN,1965,97952000,6
Brazil,BRA,1965,83817583,7
Germany,DEU,1965,75963695,8
Bangladesh,BGD,1965,59902519,9
United Kingdom,GBR,1965,54348050,10
Pakistan,PAK,1965,52209010,11
Italy,ITA,1965,52112350,12
Nigeria,NGA,1965,50086764,13
France,FRA,1965,49877725,14
Ukraine,UKR,1965,45386892,15
Mexico,MEX,1965,43174477,16
Viet Nam,VNM,1965,37129656,17
Philippines,PHL,1965,32625316,18
Turkiye,TUR,1965,32345220,19
Spain,ESP,1965,31954292,20
Poland,POL,1965,31444950,21
Thailand,THA,1965,31149337,22
"Egypt, Arab Rep.",EGY,1965,30629174,23
"Korea, Rep.",KOR,1965,28704674,24
"Iran, Islamic Rep.",IRN,1965,25036978,25
Ethiopia,ETH,1965,24310612,26
Myanmar,MMR,1965,24279431,27
Argentina,ARG,1965,22112629,28
Canada,CAN,1965,19678000,29
South Africa,ZAF,1965,19089380,30
Romania,ROU,1965,19031576,31
Colombia,COL,1965,18169050,32
"Congo, Dem. Rep.",COD,1965,17427802,33
Morocco,MAR,1965,13239171,34
"Korea, Dem. People's Rep.",PRK,1965,13219369,35
Algeria,DZA,1965,12365976,36
Netherlands,NLD,1965,12294732,37
Peru,PER,1965,11761085,38
Tanzania,TZA,1965,11470728,39
Australia,AUS,1965,11388000,40
Nepal,NPL,1965,11173411,41
Kazakhstan,KAZ,1965,10993183,42
Sri Lanka,LKA,1965,10916965,43
Hungary,HUN,1965,10147935,44
Afghanistan,AFG,1965,10036008,45
Uzbekistan,UZB,1965,9921681,46
Sudan,SDN,1965,9858030,47
Czechia,CZE,1965,9779358,48
"Venezuela, RB",VEN,1965,9697790,49
Belgium,BEL,1965,9463667,50
China,CHN,1966,735400000,1
India,IND,1966,500740247,2
United States,USA,1966,196560000,3
Russian Federation,RUS,1966,127468000,4
Indonesia,IDN,1966,103792754,5
Japan,JPN,1966,98851000,6
Brazil,BRA,1966,86139359,7
Germany,DEU,1966,76600311,8
Bangladesh,BGD,1966,61669806,9
United Kingdom,GBR,1966,54648500,10
Pakistan,PAK,1966,53678667,11
Italy,ITA,1966,52519000,12
Nigeria,NGA,1966,51188234,13
France,FRA,1966,50311637,14
Ukraine,UKR,1966,45802519,15
Mexico,MEX,1966,44629106,16
Viet Nam,VNM,1966,38024836,17
Philippines,PHL,1966,33617170,18
Turkiye,TUR,1966,33177672,19
Spain,ESP,1966,32283194,20
Thailand,THA,1966,32086071,21
Poland,POL,1966,31681000,22
"Egypt, Arab Rep.",EGY,1966,31406541,23
"Korea, Rep.",KOR,1966,29435571,24
"Iran, Islamic Rep.",IRN,1966,25829270,25
Ethiopia,ETH,1966,24952689,26
Myanmar,MMR,1966,24836496,27
Argentina,ARG,1966,22453893,28
Canada,CAN,1966,20048000,29
South Africa,ZAF,1966,19690087,30
Romania,ROU,1966,19215450,31
Colombia,COL,1966,18702688,32
"Congo, Dem. Rep.",COD,1966,17931929,33
Morocco,MAR,1966,13597065,34
"Korea, Dem. People's Rep.",PRK,1966,13569094,35
Algeria,DZA,1966,12590069,36
Netherlands,NLD,1966,12456251,37
Peru,PER,1966,12101297,38
Tanzania,TZA,1966,11827459,39
Australia,AUS,1966,11651000,40
Nepal,NPL,1966,11408710,41
Kazakhstan,KAZ,1966,11288989,42
